Nodes,Repetition,System Time,Object at Room,Worst Distance,Rooms Explored (Optimal),Traveled Distance (Optimal),Rooms Explored (Worst),Traveled Distance (Worst),Rooms Explored (OptimalExpected),Traveled Distance (OptimalExpected),Rooms Explored (WorstExpected),Traveled Distance (WorstExpected),Rooms Explored (MostProbable),Traveled Distance (MostProbable),Rooms Explored (Closest),Traveled Distance (Closest),Rooms Explored (Random),Traveled Distance (Random),Rooms Explored (MCTS-UCT),Traveled Distance (MCTS-UCT),Rooms Explored (ExpectedDistanceFixed),Traveled Distance (ExpectedDistanceFixed),Rooms Explored (ExpectedDistanceMurrieta),Traveled Distance (ExpectedDistanceMurrieta),Rooms Explored (ExpectedDistanceSimple),Traveled Distance (ExpectedDistanceSimple)
50,0,1416461482,18,0,19,24221.5,19,24221.5,19,24221.5,19,24221.5,43,63622.1,4,3068.51,45,65966.6,44,52399.8,45,68348.2,29,28097.1,44,49650.8
50,1,1416461482,45,0,46,64478.5,46,64478.5,46,64478.5,46,64478.5,18,25264.1,8,7350.64,35,50523.9,26,28649,21,29855.2,11,10374.3,17,16892.9
50,2,1416461482,39,0,40,56578.8,40,56578.8,40,56578.8,40,56578.8,34,50422,5,4297.26,15,20744.6,15,16144.7,34,49886.6,30,29325.9,28,28895.9
50,3,1416461482,8,0,9,10103,9,10103,9,10103,9,10103,8,11265.4,41,40638.2,40,58996.5,24,26541.5,12,15345.6,20,18896.7,9,8178.49
50,4,1416461482,30,0,31,44086.3,31,44086.3,31,44086.3,31,44086.3,23,33687.5,27,26364.3,28,40948.3,21,23420.1,26,38350.1,50,54268.3,23,23632.5
50,5,1416461482,43,0,44,61630,44,61630,44,61630,44,61630,9,12125.4,9,8201.77,9,11839.9,30,33605.4,9,10990.7,18,16817.9,5,4378.15
50,6,1416461482,37,0,38,53911.3,38,53911.3,38,53911.3,38,53911.3,44,65387.1,30,29697.4,3,3434.58,49,59279.7,44,66873.4,31,30476.9,43,48175.9
50,7,1416461482,21,0,22,29028.8,22,29028.8,22,29028.8,22,29028.8,32,47397.8,47,48103.4,41,60414,35,40212,38,56968.1,49,52194.5,35,38173.3
50,8,1416461482,3,0,4,3425.85,4,3425.85,4,3425.85,4,3425.85,16,22022.5,2,1087.07,13,18270.4,7,6612.05,5,4639.56,27,26115.7,4,3480.81
50,9,1416461482,42,0,43,60398.8,43,60398.8,43,60398.8,43,60398.8,28,41348.8,45,45399.9,32,45872.6,41,48703,35,51147,44,45710.6,19,19269.7
50,10,1416461482,5,0,6,5308.09,6,5308.09,6,5308.09,6,5308.09,4,5170.22,21,20601.7,43,63016.3,16,17422,10,12227.7,8,7330.4,16,15657.6
50,11,1416461482,49,0,50,71711.5,50,71711.5,50,71711.5,50,71711.5,27,39572.4,19,18499.9,5,6391.38,19,20411.2,28,40617.2,25,24003.8,30,31212.5
50,12,1416461482,48,0,49,70537.1,49,70537.1,49,70537.1,49,70537.1,17,23910.9,50,52596.4,49,71791.6,17,18610.1,16,20563.6,16,15087.3,15,14809.4
50,13,1416461482,20,0,21,27181.1,21,27181.1,21,27181.1,21,27181.1,20,28682.2,39,38501.3,50,72683.4,23,25148.1,24,34631.8,14,13113.7,25,25360.5
50,14,1416461482,12,0,13,15404,13,15404,13,15404,13,15404,10,13537.2,36,35493.9,34,48669.2,32,35858.6,11,13931.1,4,3311.09,14,13557.9
50,15,1416461482,40,0,41,58039,41,58039,41,58039,41,58039,11,14925.9,31,30888.2,25,36242,38,45059.6,6,6621.55,34,34159,10,9314.21
50,16,1416461482,2,0,3,2307.59,3,2307.59,3,2307.59,3,2307.59,33,49013,18,17710.1,14,19335.6,8,7677.23,32,45965.1,26,24997.4,31,32206.1
50,17,1416461482,27,0,28,39588.1,28,39588.1,28,39588.1,28,39588.1,7,9407.94,12,11046.4,48,70413.9,14,14831,3,2256.73,23,22030.8,13,12712
50,18,1416461482,17,0,18,22813,18,22813,18,22813,18,22813,3,3682.62,15,14569.3,18,25318.1,2,1191.54,2,1191.54,2,1191.54,2,1191.54
50,19,1416461482,17,0,18,22813,18,22813,18,22813,18,22813,3,3682.62,15,14569.3,18,25318.1,2,1191.54,2,1191.54,2,1191.54,2,1191.54
50,20,1416461482,45,0,46,64478.5,46,64478.5,46,64478.5,46,64478.5,18,25264.1,8,7350.64,35,50523.9,26,28649,21,29855.2,11,10374.3,17,16892.9
