Nodes,Probability Distribution,Starting At Node,Shortest Distance,Worst Distance,Optimal,Worst,OptimalExpected,WorstExpected,OptimalExpectedHeuristic,MostProbable,Closest,Random,MCTS-UCT,ExpectedDistanceFixed,ExpectedDistanceMurrieta,ExpectedDistanceSimple,PartialOptimalHeuristic
3,Gamma,0,1500.33,1519.8,769.72,737.858,737.858,769.72,769.72,737.858,769.72,769.72,737.858,737.858,737.858,737.858,769.72
4,Gamma,0,2859.44,3238.9,1159.63,1658.16,1159.63,1763.17,1159.63,1159.63,1159.63,1631.77,1159.63,1159.63,1159.63,1159.63,1159.63
5,Gamma,0,3360.79,3613.44,1235.03,1761.07,1235.03,2035.77,1272.45,1235.03,1680.21,1235.03,1235.03,1235.03,1235.03,1272.45,1272.45
6,Gamma,0,3810.65,4158.5,2031.82,2028.82,1577.26,2704.23,1577.26,1577.26,1973.24,2196.01,1577.26,1577.26,1840.55,1577.26,1577.26
7,Gamma,0,4851.08,6072.01,1861.85,2961.9,1861.85,3632.03,1866.55,1861.85,3206.5,2592.45,1861.85,1861.85,1861.85,1866.55,1866.55
8,Gamma,0,5359.03,6585.91,1972.45,3339.4,1953.87,4148.13,1953.87,1953.87,3585.96,2811.23,1953.87,1960.49,1972.45,1966.11,1953.87
9,Gamma,0,6303.98,7638.46,3026.26,4365.96,2333.27,5018.75,2388.57,2411.88,2967.06,3992.81,2333.27,2425.45,2460.67,2333.27,2394.05
10,Gamma,0,6060.44,7660.65,3228.98,3838.17,2518.81,4536.19,2520.84,2604.94,3576.73,3817.88,2571.54,2684.86,3576.7,2518.81,2520.84
11,Gamma,0,8642.37,12520.8,3105.18,7224.07,2670.48,8039.91,2670.48,2670.48,2842.86,3702.27,2670.48,2790,2778.56,2670.48,2725.27
12,Gamma,0,7950.94,11116.6,4988.33,5526.41,3043.44,7045.82,3063.77,3302.61,4569.92,5340.52,3080.54,3074.96,3931.11,3043.44,3177.73
13,Gamma,0,9077.16,13175.5,3916.42,6491.72,3139.19,8932.44,3344.48,3194.59,3885.71,5236.22,3211.21,3338.12,3747.91,3212.89,3579.27

