Nodes,Probability Distribution,Starting At Node,Shortest Distance,Worst Distance,Optimal,Worst,OptimalExpected,WorstExpected,OptimalExpectedHeuristic,MostProbable,Closest,Random,MCTS-UCT,ExpectedDistanceFixed,ExpectedDistanceMurrieta,ExpectedDistanceSimple,PartialOptimalHeuristic
3,Normal,0,1500.33,1519.8,1099.81,1040.53,1040.53,1099.81,1099.81,1040.53,1099.81,1099.81,1040.53,1040.53,1040.53,1040.53,1099.81
4,Normal,0,2859.44,3238.9,1636.81,2392.9,1636.81,2392.9,1636.81,1724.62,1636.81,1991.7,1636.81,1636.81,1636.81,1636.81,1636.81
5,Normal,0,3360.79,3613.44,1751.37,2323.94,1568.59,2671.87,1568.59,1599.4,1728.89,1751.37,1568.59,1599.4,1728.89,1568.59,1568.59
6,Normal,0,3810.65,4158.5,2826.45,2377.61,2085.76,3120.4,2085.76,2123.35,2679.01,2661.5,2100.46,2123.35,2585.77,2100.46,2085.76
7,Normal,0,4851.08,6072.01,2523.96,3389.52,2333.82,4458.54,2341.16,2353.64,3164.12,2990.9,2346.3,2455.58,2346.3,2333.82,2341.16
8,Normal,0,5359.03,6585.91,2863.11,3035.7,2606.48,4643.99,2608.12,2768.34,3800.12,3369.96,2618.77,2739.98,3208.03,2608.12,2608.12
9,Normal,0,6303.98,7638.46,3653.89,4374.2,3031.62,5324.94,3188.99,3247.28,3776.38,4291.56,3105.96,3208.67,3708.35,3031.62,3317.04
10,Normal,0,6060.44,7660.65,2797.62,4978.94,2573.51,5566.84,2603.66,2670.55,2891,3642.86,2641.14,2641.14,2731.24,2573.51,2717.75
11,Normal,0,8642.37,12520.8,3802.04,7398.25,3274.9,8951.72,3380.04,3568.7,3789.52,4616.21,3274.9,3675.38,4562.05,3316.72,3664.43
12,Normal,0,7950.94,11116.6,4367.41,6333.36,3705.36,8068.42,3945.06,3972.33,4663.45,4934.3,3768.15,3921.05,4481.09,3705.36,4036.38
13,Normal,0,9077.16,13175.5,5948.31,7777.42,3585.65,9105.13,3881.4,4336.93,5564.22,6737.42,4016.23,4441.84,4457.38,3585.65,3878.22

