Map Type,Map Number,Nodes,Probability Distribution,Starting At Node,Shortest Distance,Worst Distance,Optimal,Worst,OptimalExpected,WorstExpected,OptimalExpectedHeuristic,MostProbable,Closest,Random,MCTS-UCT,ExpectedDistanceFixed,ExpectedDistanceMurrieta,ExpectedDistanceSimple,PartialOptimalHeuristic
H,2,3,Gamma,0,2172.99,2220.93,1164.15,978.116,978.116,1164.15,978.116,978.116,1164.15,1164.15,978.116,978.116,978.116,978.116,978.116
H,2,4,Gamma,0,2663.45,2825.04,1383.96,1337.05,1273.05,1561.03,1447.13,1273.05,1383.96,1561.03,1273.05,1273.05,1273.05,1273.05,1447.13
H,2,5,Gamma,0,2379.18,2509.47,1526.03,1336.01,993.308,1543.18,993.308,993.308,1526.03,993.308,993.308,993.308,993.308,993.308,993.308
H,2,6,Gamma,0,3845.95,4325.83,1619.04,2426.03,1467.44,2592.29,1541.59,1479.12,1653.81,1839.69,1479.12,1479.12,1541.59,1467.44,1467.44
H,2,7,Gamma,0,4435.22,5088.59,1643.54,2238.92,1547.5,3099.87,1623.4,1640.62,1643.54,2351.2,1547.5,1547.5,1575.82,1547.5,1623.4
H,2,8,Gamma,0,5251.49,6118.44,2137.26,3200.43,2020.85,3582.15,2144.12,2020.85,2137.26,2698.58,2020.85,2029,2108.71,2020.85,2194.18
H,2,9,Gamma,0,5649.38,6921.28,2441.23,3527.42,2382.41,4138.49,2436.5,2382.41,2790.31,3601.92,2402.31,2402.31,2713.12,2415.38,2497.26
H,2,10,Gamma,0,5615.21,7035.77,2268.48,3436.79,2239.16,4492.32,2244.14,2278.79,3332.15,3600.55,2239.16,2292.24,2586.76,2239.16,2380.26
H,2,11,Gamma,0,6416.03,8050.1,3447.87,3874.74,2674.84,5072.42,2901.27,2881.98,3269,3033.45,2759.91,2957.47,3026.5,2676.07,2882.56
H,2,12,Gamma,0,7021.5,8769.46,3874.3,3410.97,2744.28,5736.26,2869.37,2837.09,3881.32,4583.28,2768.2,3075.33,2931.88,2744.28,2856.32
H,2,13,Gamma,0,8408.18,11153,3464.41,6304.6,3037.07,7337.16,3184.94,3237.53,3600.06,4735.32,3068.25,3211.82,3534.91,3038.64,3198.62

