Nodes,Probability Distribution,Starting At Node,Shortest Distance,Worst Distance,Optimal,Worst,OptimalExpected,WorstExpected,OptimalExpectedHeuristic,MostProbable,Closest,Random,MCTS-UCT,ExpectedDistanceFixed,ExpectedDistanceMurrieta,ExpectedDistanceSimple,PartialOptimalHeuristic
3,Exponential,0,1645.89,1672.86,453.907,491.608,453.907,491.608,453.907,453.907,453.907,491.608,453.907,453.907,453.907,453.907,453.907
4,Exponential,0,2347.55,2564.07,512.587,653.245,384.306,653.245,384.306,384.306,512.587,653.245,384.306,384.306,384.306,384.306,384.306
5,Exponential,0,3459.74,3640.97,1369.12,1235.75,1009.84,1408.48,1028.92,1009.84,1282.35,1009.84,1009.84,1009.84,1017.02,1009.84,1028.92
6,Exponential,0,3178.01,3437.83,1144.5,1035.2,758.397,1367.31,759.283,758.397,1242.27,905.938,758.397,758.397,759.283,759.283,758.397
7,Exponential,0,4537.97,5584.92,1635.86,2224.01,1071.94,2337.6,1080.68,1071.94,1310.23,1687.65,1071.94,1071.94,1265.7,1071.94,1071.94
8,Exponential,0,5018.61,5754.59,1268.02,1576.89,1016.16,2482.35,1019.77,1016.16,1016.16,1589.03,1016.16,1016.16,1016.16,1016.16,1019.77
9,Exponential,0,5161.3,6029.28,1137.18,2382.74,808.731,2661.16,810.238,808.731,1137.18,2215.76,808.731,808.731,934.023,808.731,810.238
10,Exponential,0,6832.02,8723.52,2951.7,2547.18,1411.74,4211.44,1418.15,1411.74,2927.11,3203.18,1411.74,1446.34,1418.01,1411.74,1418.15
11,Exponential,0,7034.01,8790.88,2482.77,3150.99,1315.29,4063.89,1386.41,1316.18,3184.3,2007.52,1316.18,1375.8,2263.48,1361.41,1385.91
12,Exponential,0,7941.43,9785.59,3597.61,2622.2,1370.5,4932.92,1371.89,1370.5,3662.08,3556.31,1384.39,1406.1,1468.26,1370.5,1371.36
13,Exponential,0,7370.92,9594.35,2521.23,3304.52,1584.93,5009.68,1741.18,1584.93,2506.38,2951.09,1626.22,1653.2,1923.54,1629.86,1737.62

