Nodes,Probability Distribution,Starting At Node,Shortest Distance,Worst Distance,Optimal,Worst,OptimalExpected,WorstExpected,OptimalExpectedHeuristic,MostProbable,Closest,Random,MCTS-UCT,ExpectedDistanceFixed,ExpectedDistanceMurrieta,ExpectedDistanceSimple,PartialOptimalHeuristic
3,Uniform,0,1645.89,1672.86,1062.82,957.154,957.154,1062.82,957.154,1062.82,1062.82,957.154,957.154,1062.82,1062.82,957.154,957.154
4,Uniform,0,2347.55,2564.07,1268.9,1534.17,1237.92,1534.17,1237.92,1534.17,1268.9,1534.17,1237.92,1268.9,1268.9,1237.92,1237.92
5,Uniform,0,3459.74,3640.97,1974.34,2188.38,1974.34,2234.17,1978.6,2188.38,2147.94,2212.36,1974.34,2063.23,2110.12,1974.34,1978.6
6,Uniform,0,3178.01,3437.83,1932.34,2004.38,1741.6,2044.95,1741.6,2004.52,1935.2,1811.31,1741.6,1977.22,1935.2,1741.6,1741.6
7,Uniform,0,4537.97,5584.92,2662.12,3060.42,2528.08,3211.26,2554.9,2783.11,2633.67,2959.63,2610.19,2794.95,2568.73,2616.87,2642.24
8,Uniform,0,5018.61,5754.59,2699.54,3212.89,2678.91,3344.79,2720.81,2983.11,2768.5,3224.95,2702.72,2713.16,2768.5,2713.28,2720.81
9,Uniform,0,5161.3,6029.28,2534.93,3356.75,2534.93,3464.16,2607.99,2946.88,2534.93,3003.27,2566.83,2534.93,2534.93,2604.2,2607.99
10,Uniform,0,6832.02,8723.52,3667.38,4417.83,3616.98,5137.44,3759.89,4281.3,3776.45,4399.36,3680.98,3933.52,3858.33,3680.98,3866.55
11,Uniform,0,7034.01,8790.88,3602.76,4400.49,3548.96,4899.99,3636.54,4216.77,3952.79,4425.27,3806.65,4096.25,3601.05,3610.51,3707.41
12,Uniform,0,7941.43,9785.59,4135.37,4989.97,4006.93,5336.44,4069.04,4847.31,4128.76,4442.79,4156.97,4326.4,4054.33,4050.66,4130.69
13,Uniform,0,7370.92,9594.35,4025.71,5200.1,3657.94,5344.45,3765.94,4408.72,3977.61,4513.57,4052.47,4527.85,3972.92,3657.94,3983.91

