Map Type,Map Number,Nodes,Probability Distribution,Starting At Node,Shortest Distance,Worst Distance,Optimal,Worst,OptimalExpected,WorstExpected,OptimalExpectedHeuristic,MostProbable,Closest,Random,MCTS-UCT,ExpectedDistanceFixed,ExpectedDistanceMurrieta,ExpectedDistanceSimple,PartialOptimalHeuristic
H,5,3,Exponential,0,1884.87,1887.35,790.495,847.79,790.495,847.79,790.495,790.495,790.495,847.79,790.495,790.495,790.495,790.495,790.495
H,5,4,Exponential,0,3156.48,3358.45,809.927,925.413,794.036,1032.62,794.036,794.036,1032.62,1021.3,794.036,794.036,794.036,794.036,794.036
H,5,5,Exponential,0,3533.13,3803.08,648.602,1015.85,648.602,1241.54,648.602,648.602,648.602,648.602,648.602,648.602,648.602,648.602,648.602
H,5,6,Exponential,0,3147.47,3482.54,817.673,1248.64,817.673,1359.5,817.673,817.673,914.71,1106.25,817.673,817.673,888.088,817.673,820.213
H,5,7,Exponential,0,5097.14,5906.89,1523.89,1649,1219.5,2449.3,1219.5,1219.5,1523.89,1761.47,1219.5,1219.5,1382.67,1219.5,1219.5
H,5,8,Exponential,0,5832.57,6733.09,2115.4,2914.28,1218.83,3078.1,1219.79,1219.17,1496,1798.09,1219.17,1219.17,1349.09,1219.79,1218.83
H,5,9,Exponential,0,5752.16,7233.96,1360.07,1832,1112.87,3088.27,1113.54,1115.3,2306.71,2634.78,1115.3,1126.97,1500.37,1112.87,1113.54
H,5,10,Exponential,0,5781.75,6892.55,1518.27,2101.93,1278.63,3466.41,1279.96,1278.63,1591.52,2621.82,1278.63,1278.63,1537.67,1278.63,1279.96
H,5,11,Exponential,0,6797.75,8116.26,1259.86,2603.23,1227.31,3875.82,1399.46,1227.31,1523.44,2049.27,1227.31,1227.31,1350.3,1227.31,1399.46
H,5,12,Exponential,0,7174.05,9465.99,1193.64,3178.54,1156.63,4659.86,1157.99,1167.37,1273.78,3496.82,1196.2,1199.38,1167.37,1156.63,1157.99
H,5,13,Exponential,0,8359.11,10860.5,2402.62,3142.65,1319.5,5748.5,1359.55,1333.64,1879.56,3474.08,1333.64,1359.7,1663.68,1319.5,1359.55

