Map Type,Map Number,Nodes,Probability Distribution,Starting At Node,Shortest Distance,Worst Distance,Optimal,Worst,OptimalExpected,WorstExpected,OptimalExpectedHeuristic,MostProbable,Closest,Random,MCTS-UCT,ExpectedDistanceFixed,ExpectedDistanceMurrieta,ExpectedDistanceSimple,PartialOptimalHeuristic
H,5,3,Normal,0,1884.87,1887.35,1238.9,1510.14,1238.9,1510.14,1238.9,1238.9,1238.9,1510.14,1238.9,1238.9,1238.9,1238.9,1238.9
H,5,4,Normal,0,3156.48,3358.45,2121.18,1986.8,1943.89,2383,1986.8,1986.8,2298.52,2142.08,1943.89,1943.89,1943.89,1943.89,1986.8
H,5,5,Normal,0,3533.13,3803.08,1774.37,2246.49,1774.37,2744.41,1774.37,1800.84,1774.37,1774.37,1800.84,1800.84,1800.84,1774.37,1774.37
H,5,6,Normal,0,3147.47,3482.54,1857.92,2402.96,1690.51,2658.08,1719.09,1690.51,2069.49,2304.35,1690.51,1690.51,1967.88,1690.51,1719.09
H,5,7,Normal,0,5097.14,5906.89,3686.52,3622.66,2770.9,3958.17,2770.9,2846.64,3686.52,3140.55,2770.9,2846.64,3148.35,2770.9,2770.9
H,5,8,Normal,0,5832.57,6733.09,3654.76,3867.71,3110.73,4695.48,3210.64,3180.68,3506.83,3599.42,3167.95,3182.6,3179.98,3141.66,3194.3
H,5,9,Normal,0,5752.16,7233.96,3940.98,4028.56,2576.4,4799.5,2576.4,2776.16,3501.99,4016.63,2576.4,2990.41,3181.75,2594.82,2578.54
H,5,10,Normal,0,5781.75,6892.55,4096.77,3780.35,2717.82,4819.88,2729.32,2754.25,4061.15,3339.42,2720.23,2877.52,3244.06,2752.45,2851.92
H,5,11,Normal,0,6797.75,8116.26,3964.78,4310.15,2804.43,5869.07,2931.79,2927.97,4027.84,3990.66,2990.97,3153.78,4002.07,2859.95,2904.42
H,5,12,Normal,0,7174.05,9465.99,4106.25,4550.59,3341.37,6436.71,3399.09,3721.16,4023.02,4415.29,3390.47,3612.84,3686.76,3540.47,3574.25
H,5,13,Normal,0,8359.11,10860.5,4379.24,5598.79,3180.38,7854.05,3281.47,3520.31,4000.57,6742.79,3376.07,3406.21,3706.94,3218.45,3279.26

