Map Type,Map Number,Nodes,Probability Distribution,Starting At Node,Shortest Distance,Worst Distance,Optimal,Worst,OptimalExpected,WorstExpected,OptimalExpectedHeuristic,MostProbable,Closest,Random,MCTS-UCT,ExpectedDistanceFixed,ExpectedDistanceMurrieta,ExpectedDistanceSimple,PartialOptimalHeuristic
H,5,3,Uniform,0,1884.87,1887.35,1280.47,1287.56,1280.47,1287.56,1280.47,1280.47,1280.47,1287.56,1280.47,1280.47,1280.47,1280.47,1280.47
H,5,4,Uniform,0,3156.48,3358.45,1884.79,1992.41,1805.06,1992.41,1805.06,1879.91,1805.06,1879.91,1805.06,1862.29,1805.06,1805.06,1805.06
H,5,5,Uniform,0,3533.13,3803.08,1863.25,2107.34,1863.25,2203.69,1863.25,2045.67,1863.25,1863.25,1863.25,1908.03,1863.25,1863.25,1894.42
H,5,6,Uniform,0,3147.47,3482.54,1887.39,1995.23,1823.52,2150.64,1832.23,1924.11,1897.19,2127.66,1831.07,1886.25,1841.03,1846.91,1832.23
H,5,7,Uniform,0,5097.14,5906.89,2861.14,3426.89,2844.79,3426.89,2887.42,3137.84,2861.14,3135.45,2844.79,2861.14,2861.14,2887.42,2915.63
H,5,8,Uniform,0,5832.57,6733.09,3323.59,4045.09,3115.23,4050.58,3181.74,3523.5,3125.1,3517.67,3158.03,3184.99,3125.1,3158.03,3163.77
H,5,9,Uniform,0,5752.16,7233.96,3231.59,3965.81,2867.9,4189.69,2896.68,3220.95,3134.86,3490.14,2883.89,3291.54,3134.86,2883.89,2896.68
H,5,10,Uniform,0,5781.75,6892.55,3248.27,3821.8,3108.26,4050.84,3134.46,3587.05,3227.39,3554.39,3108.26,3283.72,3200.14,3108.26,3176.71
H,5,11,Uniform,0,6797.75,8116.26,3722.25,4318.44,3444.67,4656.42,3490.56,4421.62,3720.55,4194.32,3522.12,3767.68,3720.55,3595.49,3583.34
H,5,12,Uniform,0,7174.05,9465.99,3733.55,5011.67,3526.42,5404.02,3682.66,4753.95,3770.15,4429.78,3721.31,3893.73,3770.15,3559.02,3757.49
H,5,13,Uniform,0,8359.11,10860.5,4213.6,5405.13,4027.72,6199.61,4132.35,4705.17,4148.4,5459.98,4128.54,4480.63,4111.99,4067.61,4189.48

