Nodes,Repetition,System Time,Object at Room,Worst Distance,Rooms Explored (Optimal),Traveled Distance (Optimal),Rooms Explored (Worst),Traveled Distance (Worst),Rooms Explored (OptimalExpected),Traveled Distance (OptimalExpected),Rooms Explored (WorstExpected),Traveled Distance (WorstExpected),Rooms Explored (MostProbable),Traveled Distance (MostProbable),Rooms Explored (Closest),Traveled Distance (Closest),Rooms Explored (Random),Traveled Distance (Random),Rooms Explored (ExpectedTimeFixed),Traveled Distance (ExpectedTimeFixed),Rooms Explored (ExpectedTimeVariable),Traveled Distance (ExpectedTimeVariable)
13,0,1412619790,0,6786.77,1,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0
13,1,1412619790,12,6786.77,8,1585.95,2,454.978,13,2953.52,3,1323.05,10,4170.58,5,740.198,12,5361.74,11,2765.04,12,3044.45
13,2,1412619790,2,6786.77,3,335.404,5,1589.65,3,341.705,11,6147.76,4,570.57,6,1299.71,5,1469.42,4,550.7,3,341.705
13,3,1412619790,5,6786.77,9,1877.69,4,1209.09,12,2661.78,8,4544.91,13,5571.07,4,448.458,6,1849.97,12,3056.78,13,3336.19
13,4,1412619790,10,6786.77,6,944.448,11,5515.98,6,957.791,5,2570.95,8,3356.71,9,1915.8,9,3705.73,7,1166.79,6,957.791
13,5,1412619790,7,6786.77,12,2534.96,8,3581.74,9,1808.1,10,5553.25,5,1165.07,11,2664.24,8,3025.68,8,1846.83,8,1740.88
13,6,1412619790,3,6786.77,5,763.524,7,2968.52,4,556.582,9,4940.03,3,355.693,7,1514.59,4,1254.54,5,765.577,4,556.582
13,7,1412619790,7,6786.77,12,2534.96,8,3581.74,9,1808.1,10,5553.25,5,1165.07,11,2664.24,8,3025.68,8,1846.83,8,1740.88
13,8,1412619790,5,6786.77,9,1877.69,4,1209.09,12,2661.78,8,4544.91,13,5571.07,4,448.458,6,1849.97,12,3056.78,13,3336.19
13,9,1412619790,4,6786.77,7,1248.73,13,6786.77,2,119.828,13,6578.63,2,119.828,3,263.836,10,4010.01,2,119.828,2,119.828
13,10,1412619790,12,6786.77,8,1585.95,2,454.978,13,2953.52,3,1323.05,10,4170.58,5,740.198,12,5361.74,11,2765.04,12,3044.45
13,11,1412619790,3,6786.77,5,763.524,7,2968.52,4,556.582,9,4940.03,3,355.693,7,1514.59,4,1254.54,5,765.577,4,556.582
13,12,1412619790,9,6786.77,11,2450.29,12,6255.12,10,1892.77,6,3310.1,7,2617.56,12,2748.91,3,583.221,9,1931.5,9,1825.55
13,13,1412619790,5,6786.77,9,1877.69,4,1209.09,12,2661.78,8,4544.91,13,5571.07,4,448.458,6,1849.97,12,3056.78,13,3336.19
13,14,1412619790,9,6786.77,11,2450.29,12,6255.12,10,1892.77,6,3310.1,7,2617.56,12,2748.91,3,583.221,9,1931.5,9,1825.55
13,15,1412619790,4,6786.77,7,1248.73,13,6786.77,2,119.828,13,6578.63,2,119.828,3,263.836,10,4010.01,2,119.828,2,119.828
13,16,1412619790,11,6786.77,4,633.754,9,4278.43,5,686.352,7,4065.89,6,1861.77,8,1644.36,7,2328.99,6,895.347,5,686.352
13,17,1412619790,3,6786.77,5,763.524,7,2968.52,4,556.582,9,4940.03,3,355.693,7,1514.59,4,1254.54,5,765.577,4,556.582
13,18,1412619790,3,6786.77,5,763.524,7,2968.52,4,556.582,9,4940.03,3,355.693,7,1514.59,4,1254.54,5,765.577,4,556.582
13,19,1412619790,10,6786.77,6,944.448,11,5515.98,6,957.791,5,2570.95,8,3356.71,9,1915.8,9,3705.73,7,1166.79,6,957.791
13,20,1412619790,11,6786.77,4,633.754,9,4278.43,5,686.352,7,4065.89,6,1861.77,8,1644.36,7,2328.99,6,895.347,5,686.352
13,21,1412619790,0,6786.77,1,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0
13,22,1412619790,11,6786.77,4,633.754,9,4278.43,5,686.352,7,4065.89,6,1861.77,8,1644.36,7,2328.99,6,895.347,5,686.352
13,23,1412619790,5,6786.77,9,1877.69,4,1209.09,12,2661.78,8,4544.91,13,5571.07,4,448.458,6,1849.97,12,3056.78,13,3336.19
13,24,1412619790,0,6786.77,1,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0
13,25,1412619790,2,6786.77,3,335.404,5,1589.65,3,341.705,11,6147.76,4,570.57,6,1299.71,5,1469.42,4,550.7,3,341.705
13,26,1412619790,7,6786.77,12,2534.96,8,3581.74,9,1808.1,10,5553.25,5,1165.07,11,2664.24,8,3025.68,8,1846.83,8,1740.88
13,27,1412619790,11,6786.77,4,633.754,9,4278.43,5,686.352,7,4065.89,6,1861.77,8,1644.36,7,2328.99,6,895.347,5,686.352
13,28,1412619790,3,6786.77,5,763.524,7,2968.52,4,556.582,9,4940.03,3,355.693,7,1514.59,4,1254.54,5,765.577,4,556.582
13,29,1412619790,0,6786.77,1,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0
13,30,1412619790,0,6786.77,1,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0
13,31,1412619790,4,6786.77,7,1248.73,13,6786.77,2,119.828,13,6578.63,2,119.828,3,263.836,10,4010.01,2,119.828,2,119.828
13,32,1412619790,0,6786.77,1,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0
13,33,1412619790,2,6786.77,3,335.404,5,1589.65,3,341.705,11,6147.76,4,570.57,6,1299.71,5,1469.42,4,550.7,3,341.705
13,34,1412619790,12,6786.77,8,1585.95,2,454.978,13,2953.52,3,1323.05,10,4170.58,5,740.198,12,5361.74,11,2765.04,12,3044.45
13,35,1412619790,11,6786.77,4,633.754,9,4278.43,5,686.352,7,4065.89,6,1861.77,8,1644.36,7,2328.99,6,895.347,5,686.352
13,36,1412619790,10,6786.77,6,944.448,11,5515.98,6,957.791,5,2570.95,8,3356.71,9,1915.8,9,3705.73,7,1166.79,6,957.791
13,37,1412619790,2,6786.77,3,335.404,5,1589.65,3,341.705,11,6147.76,4,570.57,6,1299.71,5,1469.42,4,550.7,3,341.705
13,38,1412619790,6,6786.77,10,2254.2,10,4905.53,8,1670.11,4,1960.5,11,4808.03,10,2526.25,13,5999.19,10,2127.6,10,2021.64
13,39,1412619790,3,6786.77,5,763.524,7,2968.52,4,556.582,9,4940.03,3,355.693,7,1514.59,4,1254.54,5,765.577,4,556.582
13,40,1412619790,9,6786.77,11,2450.29,12,6255.12,10,1892.77,6,3310.1,7,2617.56,12,2748.91,3,583.221,9,1931.5,9,1825.55
13,41,1412619790,5,6786.77,9,1877.69,4,1209.09,12,2661.78,8,4544.91,13,5571.07,4,448.458,6,1849.97,12,3056.78,13,3336.19
13,42,1412619790,7,6786.77,12,2534.96,8,3581.74,9,1808.1,10,5553.25,5,1165.07,11,2664.24,8,3025.68,8,1846.83,8,1740.88
13,43,1412619790,5,6786.77,9,1877.69,4,1209.09,12,2661.78,8,4544.91,13,5571.07,4,448.458,6,1849.97,12,3056.78,13,3336.19
13,44,1412619790,0,6786.77,1,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0
13,45,1412619790,4,6786.77,7,1248.73,13,6786.77,2,119.828,13,6578.63,2,119.828,3,263.836,10,4010.01,2,119.828,2,119.828
13,46,1412619790,11,6786.77,4,633.754,9,4278.43,5,686.352,7,4065.89,6,1861.77,8,1644.36,7,2328.99,6,895.347,5,686.352
13,47,1412619790,11,6786.77,4,633.754,9,4278.43,5,686.352,7,4065.89,6,1861.77,8,1644.36,7,2328.99,6,895.347,5,686.352
13,48,1412619790,8,6786.77,13,2688.45,6,2269.73,11,2128.93,2,530.439,12,5038.22,13,2985.06,11,4569.13,13,3589.64,11,2251.84
13,49,1412619790,3,6786.77,5,763.524,7,2968.52,4,556.582,9,4940.03,3,355.693,7,1514.59,4,1254.54,5,765.577,4,556.582
13,50,1412619790,9,6786.77,11,2450.29,12,6255.12,10,1892.77,6,3310.1,7,2617.56,12,2748.91,3,583.221,9,1931.5,9,1825.55
