Nodes,Repetition,System Time,Object at Room,Rooms Explored (Optimal),Traveled Distance (Optimal),Rooms Explored (Worst),Traveled Distance (Worst),Rooms Explored (OptimalExpected),Traveled Distance (OptimalExpected),Rooms Explored (WorstExpected),Traveled Distance (WorstExpected),Rooms Explored (Most Probable),Traveled Distance (Most Probable),Rooms Explored (Closest),Traveled Distance (Closest),Rooms Explored (Random),Traveled Distance (Random),Rooms Explored (ExpectedTimeFixed),Traveled Distance (ExpectedTimeFixed),Rooms Explored (ExpectedTimeVariable),Traveled Distance (ExpectedTimeVariable)
14,0,1412441008,2,3,151.154,3,854.541,2,66.4264,9,3433.21,4,549.659,3,151.154,4,897.944,2,66.4264,2,66.4264
14,1,1412441008,6,12,1673.75,2,399.794,10,1269.23,2,399.794,12,3299.09,12,1685.31,8,1643.6,14,3377.34,8,1070.32
14,2,1412441008,11,13,1733.07,4,1273.58,11,1328.55,8,3014.17,6,1174.22,13,1744.63,12,2774.47,9,1688.5,7,1011.01
14,3,1412441008,7,11,1469.23,11,3921.5,9,1064.71,10,3843.93,5,960.382,11,1480.78,11,2560.63,7,1221.57,6,797.168
14,4,1412441008,3,6,717.942,10,3560.99,4,313.421,11,4204.44,3,377.451,5,495.102,10,2200.12,4,313.421,3,238.634
14,5,1412441008,7,11,1469.23,11,3921.5,9,1064.71,10,3843.93,5,960.382,11,1480.78,11,2560.63,7,1221.57,6,797.168
14,6,1412441008,6,12,1673.75,2,399.794,10,1269.23,2,399.794,12,3299.09,12,1685.31,8,1643.6,14,3377.34,8,1070.32
14,7,1412441008,5,4,266.965,5,1744.44,14,2246.65,3,906.37,14,3950.91,4,266.965,14,3369.16,10,2159.37,14,2416.17
14,8,1412441008,13,5,574.516,8,2913.2,13,1939.1,5,1939.7,8,1782.34,6,638.528,2,200.77,6,773.328,12,2014.45
14,9,1412441008,3,6,717.942,10,3560.99,4,313.421,11,4204.44,3,377.451,5,495.102,10,2200.12,4,313.421,3,238.634
14,10,1412441008,10,14,1837.67,6,2271.82,12,1433.15,4,1433.75,9,2288.3,14,1849.22,7,1482.59,12,2810.99,9,1231.34
14,11,1412441008,6,12,1673.75,2,399.794,10,1269.23,2,399.794,12,3299.09,12,1685.31,8,1643.6,14,3377.34,8,1070.32
14,12,1412441008,10,14,1837.67,6,2271.82,12,1433.15,4,1433.75,9,2288.3,14,1849.22,7,1482.59,12,2810.99,9,1231.34
14,13,1412441008,4,7,902.41,14,4777.74,5,497.889,14,4727.08,2,192.983,7,913.967,6,1223.98,5,497.889,4,423.102
14,14,1412441008,12,8,1029.81,7,2563.96,6,625.286,12,4462.71,11,3029.76,8,1041.36,13,3009.68,11,2518.85,10,1523.47
14,15,1412441008,3,6,717.942,10,3560.99,4,313.421,11,4204.44,3,377.451,5,495.102,10,2200.12,4,313.421,3,238.634
14,16,1412441008,3,6,717.942,10,3560.99,4,313.421,11,4204.44,3,377.451,5,495.102,10,2200.12,4,313.421,3,238.634
14,17,1412441008,11,13,1733.07,4,1273.58,11,1328.55,8,3014.17,6,1174.22,13,1744.63,12,2774.47,9,1688.5,7,1011.01
14,18,1412441008,12,8,1029.81,7,2563.96,6,625.286,12,4462.71,11,3029.76,8,1041.36,13,3009.68,11,2518.85,10,1523.47
14,19,1412441008,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0
14,20,1412441008,13,5,574.516,8,2913.2,13,1939.1,5,1939.7,8,1782.34,6,638.528,2,200.77,6,773.328,12,2014.45
14,21,1412441008,6,12,1673.75,2,399.794,10,1269.23,2,399.794,12,3299.09,12,1685.31,8,1643.6,14,3377.34,8,1070.32
14,22,1412441008,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0
14,23,1412441008,2,3,151.154,3,854.541,2,66.4264,9,3433.21,4,549.659,3,151.154,4,897.944,2,66.4264,2,66.4264
14,24,1412441008,8,10,1247.37,9,3282.58,8,842.854,6,2309.08,13,3571.28,10,1258.93,3,570.15,13,3105.15,11,1645.07
