Experiment,System Time,Object at Room,Rooms Explored (Optimal),Traveled Distance (Optimal),Rooms Explored (Worst),Traveled Distance (Worst),Rooms Explored (Most Probable),Traveled Distance (Most Probable),Rooms Explored (Closest),Traveled Distance (Closest),Rooms Explored (Random),Traveled Distance (Random),Rooms Explored (ExpectedTimeFixed),Traveled Distance (ExpectedTimeFixed),Rooms Explored (ExpectedTimeVariable),Traveled Distance (ExpectedTimeVariable)
0,1411925348,1,5,325.036,3,231.48,5,360.45,2,90.0538,2,90.0538,5,360.45,5,346.492
1,1411925348,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0
2,1411925348,4,3,167.226,5,411.961,2,114.497,3,202.066,5,322.049,2,114.497,2,114.497
3,1411925348,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0
4,1411925348,2,4,210.954,2,117.397,4,246.367,4,245.794,4,278.321,4,246.367,3,158.225
5,1411925348,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0
6,1411925348,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0
7,1411925348,4,3,167.226,5,411.961,2,114.497,3,202.066,5,322.049,2,114.497,2,114.497
8,1411925348,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0
9,1411925348,2,4,210.954,2,117.397,4,246.367,4,245.794,4,278.321,4,246.367,3,158.225
10,1411925348,4,3,167.226,5,411.961,2,114.497,3,202.066,5,322.049,2,114.497,2,114.497
11,1411925348,3,2,105.184,4,349.919,3,176.539,5,315.622,3,208.493,3,176.539,4,228.053
12,1411925348,1,5,325.036,3,231.48,5,360.45,2,90.0538,2,90.0538,5,360.45,5,346.492
13,1411925348,3,2,105.184,4,349.919,3,176.539,5,315.622,3,208.493,3,176.539,4,228.053
14,1411925348,2,4,210.954,2,117.397,4,246.367,4,245.794,4,278.321,4,246.367,3,158.225
15,1411925348,2,4,210.954,2,117.397,4,246.367,4,245.794,4,278.321,4,246.367,3,158.225
16,1411925348,4,3,167.226,5,411.961,2,114.497,3,202.066,5,322.049,2,114.497,2,114.497
17,1411925348,1,5,325.036,3,231.48,5,360.45,2,90.0538,2,90.0538,5,360.45,5,346.492
18,1411925348,4,3,167.226,5,411.961,2,114.497,3,202.066,5,322.049,2,114.497,2,114.497
19,1411925348,2,4,210.954,2,117.397,4,246.367,4,245.794,4,278.321,4,246.367,3,158.225
20,1411925348,4,3,167.226,5,411.961,2,114.497,3,202.066,5,322.049,2,114.497,2,114.497
21,1411925348,2,4,210.954,2,117.397,4,246.367,4,245.794,4,278.321,4,246.367,3,158.225
22,1411925348,4,3,167.226,5,411.961,2,114.497,3,202.066,5,322.049,2,114.497,2,114.497
23,1411925348,1,5,325.036,3,231.48,5,360.45,2,90.0538,2,90.0538,5,360.45,5,346.492
24,1411925348,2,4,210.954,2,117.397,4,246.367,4,245.794,4,278.321,4,246.367,3,158.225
25,1411925348,4,3,167.226,5,411.961,2,114.497,3,202.066,5,322.049,2,114.497,2,114.497
26,1411925348,4,3,167.226,5,411.961,2,114.497,3,202.066,5,322.049,2,114.497,2,114.497
27,1411925348,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0
28,1411925348,4,3,167.226,5,411.961,2,114.497,3,202.066,5,322.049,2,114.497,2,114.497
29,1411925348,2,4,210.954,2,117.397,4,246.367,4,245.794,4,278.321,4,246.367,3,158.225
30,1411925348,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0
31,1411925348,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0
32,1411925348,3,2,105.184,4,349.919,3,176.539,5,315.622,3,208.493,3,176.539,4,228.053
33,1411925348,4,3,167.226,5,411.961,2,114.497,3,202.066,5,322.049,2,114.497,2,114.497
34,1411925348,2,4,210.954,2,117.397,4,246.367,4,245.794,4,278.321,4,246.367,3,158.225
35,1411925348,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0
36,1411925348,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0
37,1411925348,2,4,210.954,2,117.397,4,246.367,4,245.794,4,278.321,4,246.367,3,158.225
38,1411925348,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0
39,1411925348,1,5,325.036,3,231.48,5,360.45,2,90.0538,2,90.0538,5,360.45,5,346.492
40,1411925348,4,3,167.226,5,411.961,2,114.497,3,202.066,5,322.049,2,114.497,2,114.497
41,1411925348,4,3,167.226,5,411.961,2,114.497,3,202.066,5,322.049,2,114.497,2,114.497
42,1411925348,4,3,167.226,5,411.961,2,114.497,3,202.066,5,322.049,2,114.497,2,114.497
43,1411925348,1,5,325.036,3,231.48,5,360.45,2,90.0538,2,90.0538,5,360.45,5,346.492
44,1411925348,2,4,210.954,2,117.397,4,246.367,4,245.794,4,278.321,4,246.367,3,158.225
45,1411925348,2,4,210.954,2,117.397,4,246.367,4,245.794,4,278.321,4,246.367,3,158.225
46,1411925348,4,3,167.226,5,411.961,2,114.497,3,202.066,5,322.049,2,114.497,2,114.497
47,1411925348,2,4,210.954,2,117.397,4,246.367,4,245.794,4,278.321,4,246.367,3,158.225
48,1411925348,3,2,105.184,4,349.919,3,176.539,5,315.622,3,208.493,3,176.539,4,228.053
49,1411925348,2,4,210.954,2,117.397,4,246.367,4,245.794,4,278.321,4,246.367,3,158.225
50,1411925348,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0
51,1411925348,2,4,210.954,2,117.397,4,246.367,4,245.794,4,278.321,4,246.367,3,158.225
52,1411925348,4,3,167.226,5,411.961,2,114.497,3,202.066,5,322.049,2,114.497,2,114.497
53,1411925348,4,3,167.226,5,411.961,2,114.497,3,202.066,5,322.049,2,114.497,2,114.497
54,1411925348,3,2,105.184,4,349.919,3,176.539,5,315.622,3,208.493,3,176.539,4,228.053
55,1411925348,1,5,325.036,3,231.48,5,360.45,2,90.0538,2,90.0538,5,360.45,5,346.492
56,1411925348,3,2,105.184,4,349.919,3,176.539,5,315.622,3,208.493,3,176.539,4,228.053
57,1411925348,3,2,105.184,4,349.919,3,176.539,5,315.622,3,208.493,3,176.539,4,228.053
58,1411925348,2,4,210.954,2,117.397,4,246.367,4,245.794,4,278.321,4,246.367,3,158.225
59,1411925348,3,2,105.184,4,349.919,3,176.539,5,315.622,3,208.493,3,176.539,4,228.053
60,1411925348,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0
61,1411925348,2,4,210.954,2,117.397,4,246.367,4,245.794,4,278.321,4,246.367,3,158.225
62,1411925348,4,3,167.226,5,411.961,2,114.497,3,202.066,5,322.049,2,114.497,2,114.497
63,1411925348,4,3,167.226,5,411.961,2,114.497,3,202.066,5,322.049,2,114.497,2,114.497
64,1411925348,1,5,325.036,3,231.48,5,360.45,2,90.0538,2,90.0538,5,360.45,5,346.492
65,1411925348,1,5,325.036,3,231.48,5,360.45,2,90.0538,2,90.0538,5,360.45,5,346.492
66,1411925348,4,3,167.226,5,411.961,2,114.497,3,202.066,5,322.049,2,114.497,2,114.497
67,1411925348,2,4,210.954,2,117.397,4,246.367,4,245.794,4,278.321,4,246.367,3,158.225
68,1411925348,3,2,105.184,4,349.919,3,176.539,5,315.622,3,208.493,3,176.539,4,228.053
69,1411925348,4,3,167.226,5,411.961,2,114.497,3,202.066,5,322.049,2,114.497,2,114.497
70,1411925348,3,2,105.184,4,349.919,3,176.539,5,315.622,3,208.493,3,176.539,4,228.053
71,1411925348,3,2,105.184,4,349.919,3,176.539,5,315.622,3,208.493,3,176.539,4,228.053
72,1411925348,4,3,167.226,5,411.961,2,114.497,3,202.066,5,322.049,2,114.497,2,114.497
73,1411925348,2,4,210.954,2,117.397,4,246.367,4,245.794,4,278.321,4,246.367,3,158.225
74,1411925348,4,3,167.226,5,411.961,2,114.497,3,202.066,5,322.049,2,114.497,2,114.497
75,1411925348,2,4,210.954,2,117.397,4,246.367,4,245.794,4,278.321,4,246.367,3,158.225
76,1411925348,4,3,167.226,5,411.961,2,114.497,3,202.066,5,322.049,2,114.497,2,114.497
77,1411925348,3,2,105.184,4,349.919,3,176.539,5,315.622,3,208.493,3,176.539,4,228.053
78,1411925348,4,3,167.226,5,411.961,2,114.497,3,202.066,5,322.049,2,114.497,2,114.497
79,1411925348,2,4,210.954,2,117.397,4,246.367,4,245.794,4,278.321,4,246.367,3,158.225
80,1411925348,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0
81,1411925348,4,3,167.226,5,411.961,2,114.497,3,202.066,5,322.049,2,114.497,2,114.497
82,1411925348,4,3,167.226,5,411.961,2,114.497,3,202.066,5,322.049,2,114.497,2,114.497
83,1411925348,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0
84,1411925348,4,3,167.226,5,411.961,2,114.497,3,202.066,5,322.049,2,114.497,2,114.497
85,1411925348,3,2,105.184,4,349.919,3,176.539,5,315.622,3,208.493,3,176.539,4,228.053
86,1411925348,2,4,210.954,2,117.397,4,246.367,4,245.794,4,278.321,4,246.367,3,158.225
87,1411925348,3,2,105.184,4,349.919,3,176.539,5,315.622,3,208.493,3,176.539,4,228.053
88,1411925348,1,5,325.036,3,231.48,5,360.45,2,90.0538,2,90.0538,5,360.45,5,346.492
89,1411925348,4,3,167.226,5,411.961,2,114.497,3,202.066,5,322.049,2,114.497,2,114.497
90,1411925348,1,5,325.036,3,231.48,5,360.45,2,90.0538,2,90.0538,5,360.45,5,346.492
91,1411925348,2,4,210.954,2,117.397,4,246.367,4,245.794,4,278.321,4,246.367,3,158.225
92,1411925348,1,5,325.036,3,231.48,5,360.45,2,90.0538,2,90.0538,5,360.45,5,346.492
93,1411925348,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0
94,1411925348,1,5,325.036,3,231.48,5,360.45,2,90.0538,2,90.0538,5,360.45,5,346.492
95,1411925348,3,2,105.184,4,349.919,3,176.539,5,315.622,3,208.493,3,176.539,4,228.053
96,1411925348,2,4,210.954,2,117.397,4,246.367,4,245.794,4,278.321,4,246.367,3,158.225
97,1411925348,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0
98,1411925348,4,3,167.226,5,411.961,2,114.497,3,202.066,5,322.049,2,114.497,2,114.497
99,1411925348,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0
100,1411925348,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0
101,1411925348,2,4,210.954,2,117.397,4,246.367,4,245.794,4,278.321,4,246.367,3,158.225
102,1411925348,4,3,167.226,5,411.961,2,114.497,3,202.066,5,322.049,2,114.497,2,114.497
103,1411925348,4,3,167.226,5,411.961,2,114.497,3,202.066,5,322.049,2,114.497,2,114.497
104,1411925348,4,3,167.226,5,411.961,2,114.497,3,202.066,5,322.049,2,114.497,2,114.497
105,1411925348,3,2,105.184,4,349.919,3,176.539,5,315.622,3,208.493,3,176.539,4,228.053
106,1411925348,2,4,210.954,2,117.397,4,246.367,4,245.794,4,278.321,4,246.367,3,158.225
107,1411925348,3,2,105.184,4,349.919,3,176.539,5,315.622,3,208.493,3,176.539,4,228.053
108,1411925348,2,4,210.954,2,117.397,4,246.367,4,245.794,4,278.321,4,246.367,3,158.225
109,1411925348,1,5,325.036,3,231.48,5,360.45,2,90.0538,2,90.0538,5,360.45,5,346.492
110,1411925348,1,5,325.036,3,231.48,5,360.45,2,90.0538,2,90.0538,5,360.45,5,346.492
111,1411925348,3,2,105.184,4,349.919,3,176.539,5,315.622,3,208.493,3,176.539,4,228.053
112,1411925348,1,5,325.036,3,231.48,5,360.45,2,90.0538,2,90.0538,5,360.45,5,346.492
113,1411925348,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0
114,1411925348,3,2,105.184,4,349.919,3,176.539,5,315.622,3,208.493,3,176.539,4,228.053
115,1411925348,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0
116,1411925348,4,3,167.226,5,411.961,2,114.497,3,202.066,5,322.049,2,114.497,2,114.497
117,1411925348,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0
118,1411925348,3,2,105.184,4,349.919,3,176.539,5,315.622,3,208.493,3,176.539,4,228.053
119,1411925348,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0
120,1411925348,4,3,167.226,5,411.961,2,114.497,3,202.066,5,322.049,2,114.497,2,114.497
121,1411925348,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0
122,1411925348,2,4,210.954,2,117.397,4,246.367,4,245.794,4,278.321,4,246.367,3,158.225
123,1411925348,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0
124,1411925348,1,5,325.036,3,231.48,5,360.45,2,90.0538,2,90.0538,5,360.45,5,346.492
125,1411925348,4,3,167.226,5,411.961,2,114.497,3,202.066,5,322.049,2,114.497,2,114.497
126,1411925348,3,2,105.184,4,349.919,3,176.539,5,315.622,3,208.493,3,176.539,4,228.053
127,1411925348,3,2,105.184,4,349.919,3,176.539,5,315.622,3,208.493,3,176.539,4,228.053
128,1411925348,4,3,167.226,5,411.961,2,114.497,3,202.066,5,322.049,2,114.497,2,114.497
129,1411925348,3,2,105.184,4,349.919,3,176.539,5,315.622,3,208.493,3,176.539,4,228.053
130,1411925348,4,3,167.226,5,411.961,2,114.497,3,202.066,5,322.049,2,114.497,2,114.497
131,1411925348,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0
132,1411925348,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0
133,1411925348,2,4,210.954,2,117.397,4,246.367,4,245.794,4,278.321,4,246.367,3,158.225
134,1411925348,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0
135,1411925348,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0
136,1411925348,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0
137,1411925348,2,4,210.954,2,117.397,4,246.367,4,245.794,4,278.321,4,246.367,3,158.225
138,1411925348,4,3,167.226,5,411.961,2,114.497,3,202.066,5,322.049,2,114.497,2,114.497
139,1411925348,3,2,105.184,4,349.919,3,176.539,5,315.622,3,208.493,3,176.539,4,228.053
140,1411925348,4,3,167.226,5,411.961,2,114.497,3,202.066,5,322.049,2,114.497,2,114.497
141,1411925348,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0
142,1411925348,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0
143,1411925348,4,3,167.226,5,411.961,2,114.497,3,202.066,5,322.049,2,114.497,2,114.497
144,1411925348,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0
145,1411925348,4,3,167.226,5,411.961,2,114.497,3,202.066,5,322.049,2,114.497,2,114.497
146,1411925348,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0
147,1411925348,4,3,167.226,5,411.961,2,114.497,3,202.066,5,322.049,2,114.497,2,114.497
148,1411925348,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0
149,1411925348,4,3,167.226,5,411.961,2,114.497,3,202.066,5,322.049,2,114.497,2,114.497
150,1411925348,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0
151,1411925348,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0
152,1411925348,4,3,167.226,5,411.961,2,114.497,3,202.066,5,322.049,2,114.497,2,114.497
153,1411925348,3,2,105.184,4,349.919,3,176.539,5,315.622,3,208.493,3,176.539,4,228.053
154,1411925348,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0
155,1411925348,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0
156,1411925348,2,4,210.954,2,117.397,4,246.367,4,245.794,4,278.321,4,246.367,3,158.225
157,1411925348,4,3,167.226,5,411.961,2,114.497,3,202.066,5,322.049,2,114.497,2,114.497
158,1411925348,4,3,167.226,5,411.961,2,114.497,3,202.066,5,322.049,2,114.497,2,114.497
159,1411925348,2,4,210.954,2,117.397,4,246.367,4,245.794,4,278.321,4,246.367,3,158.225
160,1411925348,3,2,105.184,4,349.919,3,176.539,5,315.622,3,208.493,3,176.539,4,228.053
161,1411925348,3,2,105.184,4,349.919,3,176.539,5,315.622,3,208.493,3,176.539,4,228.053
162,1411925348,2,4,210.954,2,117.397,4,246.367,4,245.794,4,278.321,4,246.367,3,158.225
163,1411925348,3,2,105.184,4,349.919,3,176.539,5,315.622,3,208.493,3,176.539,4,228.053
164,1411925348,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0
165,1411925348,2,4,210.954,2,117.397,4,246.367,4,245.794,4,278.321,4,246.367,3,158.225
166,1411925348,4,3,167.226,5,411.961,2,114.497,3,202.066,5,322.049,2,114.497,2,114.497
167,1411925348,1,5,325.036,3,231.48,5,360.45,2,90.0538,2,90.0538,5,360.45,5,346.492
168,1411925348,4,3,167.226,5,411.961,2,114.497,3,202.066,5,322.049,2,114.497,2,114.497
169,1411925348,3,2,105.184,4,349.919,3,176.539,5,315.622,3,208.493,3,176.539,4,228.053
170,1411925348,4,3,167.226,5,411.961,2,114.497,3,202.066,5,322.049,2,114.497,2,114.497
171,1411925348,3,2,105.184,4,349.919,3,176.539,5,315.622,3,208.493,3,176.539,4,228.053
172,1411925348,3,2,105.184,4,349.919,3,176.539,5,315.622,3,208.493,3,176.539,4,228.053
173,1411925348,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0
174,1411925348,3,2,105.184,4,349.919,3,176.539,5,315.622,3,208.493,3,176.539,4,228.053
175,1411925348,4,3,167.226,5,411.961,2,114.497,3,202.066,5,322.049,2,114.497,2,114.497
176,1411925348,4,3,167.226,5,411.961,2,114.497,3,202.066,5,322.049,2,114.497,2,114.497
177,1411925348,4,3,167.226,5,411.961,2,114.497,3,202.066,5,322.049,2,114.497,2,114.497
178,1411925348,4,3,167.226,5,411.961,2,114.497,3,202.066,5,322.049,2,114.497,2,114.497
179,1411925348,4,3,167.226,5,411.961,2,114.497,3,202.066,5,322.049,2,114.497,2,114.497
180,1411925348,3,2,105.184,4,349.919,3,176.539,5,315.622,3,208.493,3,176.539,4,228.053
181,1411925348,4,3,167.226,5,411.961,2,114.497,3,202.066,5,322.049,2,114.497,2,114.497
182,1411925348,4,3,167.226,5,411.961,2,114.497,3,202.066,5,322.049,2,114.497,2,114.497
183,1411925348,3,2,105.184,4,349.919,3,176.539,5,315.622,3,208.493,3,176.539,4,228.053
184,1411925348,2,4,210.954,2,117.397,4,246.367,4,245.794,4,278.321,4,246.367,3,158.225
185,1411925348,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0
186,1411925348,4,3,167.226,5,411.961,2,114.497,3,202.066,5,322.049,2,114.497,2,114.497
187,1411925348,4,3,167.226,5,411.961,2,114.497,3,202.066,5,322.049,2,114.497,2,114.497
188,1411925348,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0
189,1411925348,3,2,105.184,4,349.919,3,176.539,5,315.622,3,208.493,3,176.539,4,228.053
190,1411925348,1,5,325.036,3,231.48,5,360.45,2,90.0538,2,90.0538,5,360.45,5,346.492
191,1411925348,3,2,105.184,4,349.919,3,176.539,5,315.622,3,208.493,3,176.539,4,228.053
192,1411925348,1,5,325.036,3,231.48,5,360.45,2,90.0538,2,90.0538,5,360.45,5,346.492
193,1411925348,3,2,105.184,4,349.919,3,176.539,5,315.622,3,208.493,3,176.539,4,228.053
194,1411925348,1,5,325.036,3,231.48,5,360.45,2,90.0538,2,90.0538,5,360.45,5,346.492
195,1411925348,1,5,325.036,3,231.48,5,360.45,2,90.0538,2,90.0538,5,360.45,5,346.492
196,1411925348,1,5,325.036,3,231.48,5,360.45,2,90.0538,2,90.0538,5,360.45,5,346.492
197,1411925348,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0
198,1411925348,3,2,105.184,4,349.919,3,176.539,5,315.622,3,208.493,3,176.539,4,228.053
199,1411925348,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0
200,1411925348,3,2,105.184,4,349.919,3,176.539,5,315.622,3,208.493,3,176.539,4,228.053
201,1411925348,2,4,210.954,2,117.397,4,246.367,4,245.794,4,278.321,4,246.367,3,158.225
202,1411925348,4,3,167.226,5,411.961,2,114.497,3,202.066,5,322.049,2,114.497,2,114.497
203,1411925348,1,5,325.036,3,231.48,5,360.45,2,90.0538,2,90.0538,5,360.45,5,346.492
204,1411925348,3,2,105.184,4,349.919,3,176.539,5,315.622,3,208.493,3,176.539,4,228.053
